title_of_group,title_job,company,salary,city
Oferty dnia,Remote System Automation Senior Engineer,HSBC Technology Poland,17 000  – 21 000  PLN,Zdalnie
Oferty dnia,Lead IT Architect with AWS,Digital Hub Warsaw at Bayer,25 000  – 30 000  PLN,Warsaw
Oferty dnia,Senior/Mid UI/UX Designer,Sofomo,15 000  – 22 000  PLN,Zdalnie
Oferty dnia,Internal Control Process & Tools Specialist,Schneider Electric,11 000  – 16 000  PLN,Warsaw
Oferty dnia,Backend Java Developer Team Lead,Antal Sp. z.o.o.,22 000  – 26 000  PLN,Katowice
Oferty dnia,Product Owner,FIS Technology Services (Poland) Sp. z o.o.,18 000  – 20 000  PLN,Warsaw
Oferty pracy Backend,Senior PHP Engineer (Laravel),Link Group,25 000  – 28 000  PLN,Kraków
Oferty pracy Backend,Ruby on Rails Developer,Team International,20 000  – 24 000  PLN,Lublin
Oferty pracy Backend,Software Engineer/Golang Developer,Cinemo GmbH,17 873  – 24 203  PLN,Karlsruhe
Oferty pracy Backend,Senior C++ Developer,Corvil,18 000  – 25 000  PLN,Kraków
Oferty pracy Backend,Developer,Hays Poland,18 480  – 21 000  PLN,Zdalnie
Oferty pracy Frontend,Senior React Front-end Developer,Emersoft,16 429  – 28 751  PLN,Zdalnie
Oferty pracy Frontend,Angular Developer – Senior/Regular,dm-drogerie markt sp.z o.o.,14 000  – 22 000  PLN,Zdalnie
Oferty pracy Frontend,Junior Frontend JavaScript Developer,the.good.code;,6 720  – 7 560  PLN,Zdalnie
Oferty pracy Frontend,.NET Developer,Devire,18 480  – 23 520  PLN,Warszawa
Oferty pracy Frontend,Junior Web Administrator,Secom United Sp. z o.o.,4 000  – 4 500  PLN,Toruń
Oferty pracy Fullstack,PHP Fullstack Developer,emagine Sp. Z o.o.,22 680  – 25 200  PLN,Zdalnie
Oferty pracy Fullstack,Fullstack Developer,Hays Poland,23 520  – 27 720  PLN,Zdalnie
Oferty pracy Fullstack,Remote TypeScript/JavaScript Developer - ASAP,Giełda Papierów Wartościowych S.A.,20 160  – 30 240  PLN,Zdalnie
Oferty pracy Fullstack,Fullstack Developer / Programista Fullstack,Emiter Sp. z o.o.,6 000  – 9 000  PLN,Katowice
Oferty pracy Fullstack,Senior Fullstack Developer (Java + Angular),7N,23 520  – 26 040  PLN,Warszawa
Oferty pracy Mobile,Senior iOS Engineer,N-iX,18 483  – 25 055  PLN,Zdalnie
Oferty pracy Mobile,Android Developer,Adaptiq,22 590  – 26 698  PLN,Zdalnie
Oferty pracy Mobile,Mid/Senior Kotlin Developer,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,13 000  – 22 000  PLN,Warszawa
Oferty pracy Mobile,FullStack Developer (React Native) AI healthcare,Unit Group,24 644  – 32 859  PLN,Zdalnie
Oferty pracy Mobile,Junior Flutter Developer,Mindpal,8 400  – 11 760  PLN,Zdalnie
Oferty pracy Testing,Senior QA Engineer,Proxet,20 537  – 22 590  PLN,Wroclaw
Oferty pracy Testing,Functional Salesforce Tester,emagine Sp. Z o.o.,16 800  – 20 664  PLN,Warsaw
Oferty pracy Testing,Junior Test Engineer,PRIMIGENIUS,3 500  – 5 500  PLN,Bydgoszcz
Oferty pracy Testing,Senior/Lead Test Engineer (C#),Spyrosoft,16 800  – 26 040  PLN,Zdalnie
Oferty pracy Testing,Senior Performance Tester/ Automation Engineer,Adaptiq,22 590  – 26 698  PLN,Zdalnie
Oferty pracy DevOps,Senior DevOps Engineer (Azure),GetInData | Part of Xebia,25 200  – 31 080  PLN,Zdalnie
Oferty pracy DevOps,Senior DevOps Cloud Engineer,Digital Hub Warsaw at Bayer,18 000  – 26 000  PLN,Warsaw
Oferty pracy DevOps,Senior Cloud Engineer with Python,Digital Hub Warsaw at Bayer,18 000  – 26 000  PLN,Warsaw
Oferty pracy DevOps,DevOps Engineer (AWS),Northmill,17 000  – 23 000  PLN,Katowice
Oferty pracy DevOps,DevOps Technical Leader,Shiji Poland,23 000  – 30 000  PLN,Katowice
